WarningCritical;category
WarningMajor;category
WarningMinor;category
Best Practice Rules;category
Code Style Rules;category
Design Rules;category
Documentation Rules;category
Error Prone Rules;category
Multithreading Rules;category
Performance Rules;category
Security Rules;category
PMD_CASR;Consecutive Appends Should Reuse;Performance Rules;Minor
PMD_CLA;Consecutive Literal Appends;Performance Rules;Minor
PMD_ISB;Inefficient String Buffering;Performance Rules;Minor
PMD_OTAC;Optimizable To Array Call;Performance Rules;Major
PMD_RFI;Redundant Field Initializer;Performance Rules;Minor
PMD_StI;String Instantiation;Performance Rules;Minor
PMD_STS;String To String;Performance Rules;Minor
PMD_TFBFASS;Too Few Branches For ASwitch Statement;Performance Rules;Minor
PMD_UWOC;Unnecessary Wrapper Object Creation;Performance Rules;Major
PMD_UALIOV;Use Array List Instead Of Vector;Performance Rules;Minor
PMD_UAAL;Use Arrays As List;Performance Rules;Major
PMD_UIOSWACFI;Use IOStreams With Apache Commons File Item;Performance Rules;Major
PMD_USBFSA;Use String Buffer For String Appends;Performance Rules;Major
PMD_HCCK;Hard Coded Crypto Key;Security Rules;Critical
PMD_ICI;Insecure Crypto Iv;Security Rules;Critical
